question_id,class,subject,chapter,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,ncert_reference,
ENG_C7_648,7,English,Three Questions,Comprehension,Medium,MCQ,Some wise men suggested the king needed a council of wise men to:,a) Fight for him,b) Help him act at the right time,c) Cook for him,d) Entertain him,b,They believed a single person could not always know the correct moment for action,Honeycomb Unit 1,1
SCI_C7_672,7,Science,The World of Metals and Non-metals,Biology,Hard,MCQ,Sorter's disease is a lethal blood disease caused by which bacterium?,a) Salmonella,b) Bacillus anthracis,c) Rhinovirus,d) Amoeba,b,Anthrax is an occupational hazard for workers in the wool industry who sort infected fleece,Curiosity Ch 4,1
ENG_C7_537,7,English,Rani Abbakka,Civics,Medium,MCQ,Sovereign country means:,a) Rich,b) Independent,c) Large,d) Small,b,Self-governing nation,Poorvi Unit 5,1
SCI_C7_538,7,Science,Measurement of Time and Motion,Physics,Hard,MCQ,Speed of cyclist 12km in 30min in km/h is:,a) 6,b) 12,c) 24,d) 30,c,Distance / Time = $12 / 0.5 = 24 km/h$,Curiosity Ch 8,1
SST_C7_497,7,Social Science,How the Land Becomes Sacred,Ecology,Medium,MCQ,Spiritual journeys taken to places of religious or cultural importance are called:,a) Tourism,b) Pilgrimages,c) Migration,d) Trade,b,Pilgrimages connect people with the sacred geography and history of their land,Exploring Society Ch 8,1
SST_C7_207,7,Social Science,How the Land Becomes Sacred,Ecology,Medium,MCQ,Spiritual journeys taken to places of religious or cultural importance are:,a) Tourism,b) Pilgrimages,c) Migration,d) Trade,b,Pilgrimages connect people with the sacred geography and history of their land.,Exploring Society Ch 8,1
SST_C7_260,7,Social Science,How the Land Becomes Sacred,Ecology,Medium,MCQ,Spiritual journeys to places of religious or cultural importance are called:,a) Tourism,b) Pilgrimages,c) Migration,d) Trade,b,Pilgrimages connect people with the sacred history of their land.,,1
SCI_C7_087,7,Science,Changes Around Us,Chemistry,Medium,MCQ,Stainless steel is created by combining iron with:,a) Carbon and Nickel,b) Carbon Nickel and Chromium,c) Zinc and Lead,d) Silver and Gold,b,Chromium and nickel are added to iron to make it resistant to rusting. [1],,1
SCI_C7_733,7,Science,Measurement of Time and Motion,Physics,Easy,MCQ,Standard S.I. unit of speed is:,a) km/h,b) m/s,c) m/min,d) cm/s,b,Globally accepted base unit for speed,Curiosity Ch 8,1
SCI_C7_533,7,Science,Measurement of Time and Motion,Physics,Easy,MCQ,Standard unit of speed is:,a) km/h,b) m/s,c) m/min,d) cm/s,b,Globally accepted metric unit,Curiosity Ch 8,1
SCI_C7_564,7,Science,Exploring Substances,pH,Medium,MCQ,Substances that are neither acidic nor basic are called:,a) Corrosive,b) Neutral,c) Indicators,d) Salts,b,Neutral substances like pure water have a pH of approximately 7,Curiosity Ch 2,1
SCI_C7_604,7,Science,Exploring Substances,Indicators,Medium,MCQ,Substances that change color when added to acidic or basic solutions are:,a) Catalysts,b) Indicators,c) Solvents,d) Metals,b,Indicators like litmus or turmeric are used to test for acidity or alkalinity,Curiosity Ch 2,1
MATH_C7_761,7,Mathematics,Finding the Unknown,Equations,Easy,MCQ,Subtract 10 from $x$ is 15. $x$ is:,a) 5,b) 25,c) 10,d) 150,b,Algebraic balance equation,Ganita Prakash Ch 15,1
MATH_C7_756,7,Mathematics,Finding the Unknown,Equations,Medium,MCQ,Subtract 10 from $x$ results in 15. $x$ is:,a) 5,b) 25,c) 10,d) 150,b,Algebraic translation and solution,Ganita Prakash Ch 15,1
ENG_C7_714,7,English,Try Again,Moral,Easy,MCQ,Success comes after perseverance according to which poem?,a) The Rebel,b) Try Again,c) The Tunnel,d) Rani Abbakka,b,The poem motivates students to keep attempting despite setbacks,Poorvi Unit 1,1
ENG_C7_527,7,English,Try Again,Poetry,Easy,MCQ,Success comes after:,a) Luck,b) Perseverance,c) Giving up,d) Money,b,Core moral of the poem,Poorvi Unit 1,1
MATH_C7_525,7,Mathematics,Geometric Twins,Polygons,Easy,MCQ,Sum of interior angles of a triangle is:,a) 90,b) 180,c) 360,d) 270,b,Angle Sum Property of triangles,Ganita Prakash II Ch 1,1
MATH_C7_540,7,Mathematics,Geometric Twins,Triangles,Medium,MCQ,Sum of interior angles of triangle is:,a) 90,b) 180,c) 360,d) 270,b,Angle Sum Property,Ganita Prakash II Ch 1,1
SCI_C7_526,7,Science,Heat Transfer in Nature,Radiation,Easy,MCQ,Sun heat reaches Earth by:,a) Conduction,b) Convection,c) Radiation,d) Insulation,c,Mode requiring no material medium,Curiosity Ch 7,1
SCI_C7_726,7,Science,Heat Transfer in Nature,Radiation,Easy,MCQ,Sun's heat reaches the Earth through:,a) Conduction,b) Convection,c) Radiation,d) Insulation,c,Transfer method that does not require a material medium,Curiosity Ch 7,1
SST_C7_517,7,Social Science,Understanding Markets,Economics,Medium,MCQ,Supply and demand mainly decide what in a market?,a) Shop location,b) Item color,c) Price,d) Shopkeeper name,c,Prices fluctuate based on availability and consumer interest,Exploring Society Ch 12,1
SST_C7_621,7,Social Science,The Story of Indian Farming,History,Hard,MCQ,Surapala's Vrikshayurveda recommends sprinkling seeds with which substance to aid sprouting?,a) Salt water,b) Milk and Cow dung,c) Sand,d) Oil,b,Ancient Indian texts provide unique horticultural methods for plant success,Exploring Society Ch 1,1
SCI_C7_529,7,Science,Electricity,Circuit,Easy,MCQ,Switch is used to:,a) Open/Close circuit,b) Produce electricity,c) Measure current,d) Heat wires,a,Basic function of a switch in a circuit,Curiosity Ch 3,1
SST_C7_564,7,Social Science,The Rise of Empires,Strategy,Medium,MCQ,The 'Arthashastra' was a famous book on statecraft written by:,a) Ashoka,b) Kautilya,c) Megasthenes,d) Seleucus,b,Chanakya or Kautilya provided the political blueprint for the Mauryan empire,Exploring Society Ch 5,1
SST_C7_694,7,Social Science,The Rise of Empires,Strategy,Medium,MCQ,The 'Arthashastra' was written by which famous advisor?,a) Ashoka,b) Kautilya,c) Panini,d) Chandragupta,b,Kautilya (Chanakya) authored this foundational text on statecraft,Exploring Society Ch 5,1
SST_C7_673,7,Social Science,The Gupta Era,History,Medium,MCQ,The 'Golden Age' of India refers to the period of which dynasty?,a) Maurya,b) Gupta,c) Chola,d) Mughal,b,The Gupta era is noted for immense progress in arts; science; and literature,Exploring Society Ch 7,1
ENG_A_001,7,English,The Tiny Teacher,Life Cycles,Easy,MCQ,The 'grubs' of ants eventually turn into:,a) Beetles,b) Cocoons,c) Greenflies,d) Flies,b,After two or three weeks grubs become cocoons which then break to reveal complete ants.,Unit 1: An Alien Hand,1
SST_C_001,7,Social Science,The Constitution of India,Equality,Easy,MCQ,The 'Mid-day Meal Scheme' was first introduced in which Indian state?,a) Kerala,b) Tamil Nadu,c) Andhra Pradesh,d) Karnataka,b,Tamil Nadu was the first state in India to introduce this scheme in 2001 to encourage school attendance.,Ch 10: Exploring Society,1
SCI_C7_494,7,Science,Life Processes in Animals,Digestion,Easy,MCQ,The acid present in the human stomach that helps in digestion is:,a) Acetic acid,b) Hydrochloric acid,c) Sulphuric acid,d) Nitric acid,b,Hydrochloric acid ($HCl$) helps break down food and kills bacteria in the stomach,Curiosity Ch 9,1
SCI_C7_407,7,Science,Life Processes in Animals,Digestion,Easy,MCQ,The acid secreted in the human stomach to help digestion is:,a) Sulphuric acid,b) Hydrochloric acid,c) Nitric acid,d) Acetic acid,b,Hydrochloric acid ($HCl$) helps break down food and kills bacteria in the stomach.,Curiosity Ch 9,1
MATH_C7_082,7,Mathematics,Operations with Integers,Inverses,Easy,MCQ,The additive inverse of -5 is:,a) -5,b) 0,c) 5,d) 1,c,The additive inverse of an integer $a$ is the number which when added to $a$ results in zero.,,1
MATH_C7_580,7,Mathematics,Expressions using Letter-Numbers,Algebraic expressions,Medium,MCQ,The algebraic expression for 'y subtracted from 10' is:,a) $y - 10$,b) $10 - y$,c) $10y$,d) $10 + y$,b,Subtraction from a number means that number is the minuend; so $10 - y$,Ganita Prakash Ch 4,1
MATH_C7_724,7,Mathematics,Geometric Twins,Polygons,Easy,MCQ,The Angle Sum Property states that triangle interior angles sum to:,a) 90,b) 180,c) 360,d) 270,b,Fundamental property for all types of triangles,Ganita Prakash II Ch 1,1
MATH_C7_578,7,Mathematics,Perimeter and Area,Square,Easy,MCQ,The area of a square with side length 10 cm is:,a) 40 cm,b) 100 sq cm,c) 20 sq cm,d) 10 sq cm,b,Area is $side \times side = 10 \times 10 = 100$ square centimetres,NCERT Ch 9,1
MATH_C7_495,7,Mathematics,Connecting the Dots,Statistics,Medium,MCQ,The arithmetic average of all observations in a dataset is called the:,a) Mode,b) Median,c) Mean,d) Range,c,Mean is calculated by dividing the total sum of observations by the number of observations,Ganita Prakash II Ch 13,1
ENG_C7_143,7,English,Three Days to See,Inference,Hard,MCQ,The author Helen Keller emphasizes the value of which sense?,a) Taste,b) Sight,c) Smell,d) Hearing,b,She describes what she would do if given three days of vision to highlight the beauty people often ignore.,,1
MATH_C7_022,7,Mathematics,Data Handling,Mean,Easy,MCQ,The average of 7 3 8 20 and 12 is:,a) 10,b) 12,c) 15,d) 11,b,Average = $(7+3+8+20+12)/5 = 60/5 = 12$.,NCERT Ch 3,1
SCI_C7_620,7,Science,Measurement of Time and Motion,Meteorology,Medium,MCQ,The average weather pattern of a place over a long period of time is its:,a) Weather,b) Climate,c) Season,d) Adaptation,b,Climate describes the long-term trends rather than daily atmospheric changes,Curiosity Ch 8,1
SCI_C7_015,7,Science,Weather and Climate,Definitions,Easy,MCQ,The average weather pattern over a long period is called:,a) Weather,b) Climate,c) Season,d) Adaptation,b,Climate describes long-term atmospheric trends while weather is daily.,,1
SCI_C7_596,7,Science,The World of Metals and Non-metals,Biology,Hard,MCQ,The bacterial disease 'Sorters disease' is caused by which pathogen?,a) Salmonella,b) Bacillus anthracis,c) Rhinovirus,d) Amoeba,b,Anthrax is an occupational hazard for workers in the wool industry,Curiosity Ch 4,1
SST_C7_721,7,Social Science,From Barter to Money,Economics,Easy,MCQ,The barter system involves exchanging goods for:,a) Money,b) Other goods,c) Gold,d) Paper,b,Primary mode of exchange before currency was invented,Exploring Society Ch 11,1
SST_C7_086,7,Social Science,Geographical Diversity of India,Rivers,Medium,MCQ,The Bhagirathi River originates from which of the following places?,a) Cherrapunji,b) Pangong Tso,c) Gaumukh,d) Mount Abu,c,Gaumukh is the snout of the Gangotri Glacier where the Bhagirathi begins.,,1
SCI_C7_480,7,Science,Light: Shadows and Reflections,Optics,Medium,MCQ,The bouncing of light off a shiny surface is called:,a) Refraction,b) Reflection,c) Dispersion,d) Absorption,b,Reflection occurs when light hits a surface and changes direction without passing through,Curiosity Ch 11,1
SCI_C7_607,7,Science,The World of Metals and Non-metals,Oxidation,Medium,MCQ,The brownish layer formed on iron objects when exposed to air and moisture is:,a) Zinc,b) Rust,c) Copper,d) Silver,b,Rusting is the slow oxidation of iron in the presence of water and oxygen,Curiosity Ch 4,1
ENG_C7_209,7,English,Golu Grows a Nose,Fable,Medium,MCQ,The central lesson Golu learns in the story is related to:,a) Greed,b) Self-acceptance and adaptation,c) How to fly,d) How to swim,b,Golu realizes that his new long nose provides him with several practical advantages.,An Alien Hand Unit 3,1
SST_C7_695,7,Social Science,Constitution of India,Governance,Medium,MCQ,The chairman of the Drafting Committee of the Indian Constitution was:,a) Jawaharlal Nehru,b) Dr. Rajendra Prasad,c) Dr. B.R. Ambedkar,d) Sardar Patel,c,He is widely regarded as the chief architect of the Indian Constitution,Exploring Society Ch 10,1
SCI_C7_257,7,Science,Changes Around Us,Oxidation,Medium,MCQ,The chemical name for rust is:,a) Ferrous sulphate,b) Iron oxide,c) Copper oxide,d) Zinc chloride,b,Rust forms when iron reacts with oxygen and moisture to create iron oxide.,,1
SCI_C7_486,7,Science,Changes Around Us,Oxidation,Medium,MCQ,The chemical name of the substance formed during the rusting of iron is:,a) Ferrous sulphate,b) Iron oxide,c) Copper oxide,d) Zinc chloride,b,Rust is essentially iron oxide formed when iron reacts with oxygen and moisture,Curiosity Ch 5,1
SCI_C7_552,7,Science,Adolescence,Endocrinology,Medium,MCQ,The chemical substances secreted by endocrine glands are called:,a) Enzymes,b) Hormones,c) Proteins,d) Vitamins,b,Hormones are chemical messengers that regulate various body functions during growth,Curiosity Ch 6,1
MATH_C7_410,7,Mathematics,Perimeter and Area,Circle,Hard,MCQ,The circumference of a circle with radius 7 cm (taking $\pi = 22/7$) is:,a) 22 cm,b) 44 cm,c) 154 cm,d) 88 cm,b,$C = 2\pi r = 2 \times 22/7 \times 7 = 44 cm$.,NCERT Ch 9,1
ENG_C7_716,7,English,Rani Abbakka,History,Medium,MCQ,The coastal kingdom ruled by Rani Abbakka was:,a) Goa,b) Ullal,c) Mangalore,d) Kochi,b,She is a famous warrior queen from Ullal in Karnataka,Poorvi Unit 5,1
ENG_C7_730,7,English,The Day the River Spoke,Character,Medium,MCQ,The confidant of Jahnavi was the:,a) Father,b) Brother,c) River,d) Teacher,c,She shared her school dreams with the waterway,Poorvi Unit 1,1
ENG_C7_722,7,English,Try Again,Moral,Easy,MCQ,The core message of the poem 'Try Again' is:,a) Give up,b) Perseverance,c) Luck,d) Winning,b,Encourages continued effort to achieve success,Poorvi Unit 1,1
ENG_C7_681,7,English,Rani Abbakka,History,Medium,MCQ,The courageous queen Rani Abbakka fought against which foreign power?,a) British,b) Portuguese,c) French,d) Dutch,b,She is famous for her naval resistance in the coastal region of Ullal,Poorvi Unit 5,1
SST_C7_501,7,Social Science,From Barter to Money,Economics,Easy,MCQ,The current official currency issued by the RBI in India is the:,a) Dollar,b) Indian Rupee,c) Euro,d) Pound,b,The Indian Rupee ($₹$) is the legal tender managed by the central bank,Exploring Society Ch 11,1
MATH_C7_210,7,Mathematics,Data Handling,Stats,Easy,MCQ,The difference between the highest and lowest observations in a dataset is called:,a) Mean,b) Median,c) Mode,d) Range,d,Range is a measure of spread calculated by subtracting the minimum value from the maximum value.,NCERT Ch 3,1
MATH_C7_697,7,Mathematics,Connecting the Dots,Data Handling,Easy,MCQ,The difference between the highest and lowest observations is called:,a) Mean,b) Median,c) Mode,d) Range,d,Range is a measure of spread in a given data set,NCERT Ch 3,1
MATH_C7_590,7,Mathematics,Arithmetic Expressions,Algebraic rules,Medium,MCQ,The expression $a(b + c)$ is equal to:,a) $ab + c$,b) $ab + ac$,c) $abc$,d) $a + b + c$,b,This represents the distributive property of multiplication over addition,Ganita Prakash Ch 2,1
SST_C7_518,7,Social Science,The Rise of Empires,History,Easy,MCQ,The first great empire in India was the:,a) Gupta,b) Maurya,c) Maratha,d) Chola,b,The Mauryan empire unified a large part of the subcontinent,Exploring Society Ch 5,1
SST_C7_410,7,Social Science,Exploring Society,Civics,Easy,MCQ,The full form of MLA is:,a) Member of Local Authority,b) Member of Legislative Assembly,c) Most Liable Administrator,d) Member of Local Association,b,MLAs are elected representatives of the people in the state legislature.,Exploring Society Ch 12,1
SST_C7_519,7,Social Science,Exploring Society,Civics,Easy,MCQ,The full form of PHC in health centers is:,a) Private Health Center,b) Public Health Center,c) Primary Health Center,d) Personal Health Care,c,PHCs are the basic government clinics in rural areas,Exploring Society Ch 12,1
SST_C7_503,7,Social Science,Understanding Markets,Governance,Medium,MCQ,The government sets a 'Minimum Support Price' (MSP) primarily to help:,a) Mall owners,b) Foreign tourists,c) Farmers,d) Factory workers,c,MSP ensures that farmers get a fair price for their crops even if market prices drop,Exploring Society Ch 12,1
SCI_C7_514,7,Science,Life Processes in Plants,Botany,Easy,MCQ,The green pigment in leaves that traps solar energy is:,a) Hemoglobin,b) Chlorophyll,c) Melanin,d) Anthocyanin,b,Chlorophyll is essential for capturing light energy for photosynthesis,Curiosity Ch 10,1
SST_C7_206,7,Social Science,The Gupta Era,History,Medium,MCQ,The Gupta period is often called the 'Golden Age' of India because of its:,a) High taxes,b) Continuous wars,c) Progress in arts and science,d) Discovery of gold mines,c,This era saw significant achievements in mathematics medicine and Sanskrit literature.,Exploring Society Ch 7,1
SST_C7_010,7,Social Science,Environment,Landforms,Medium,MCQ,The hard top layer of the earth is known as the:,a) Atmosphere,b) Hydrosphere,c) Lithosphere,d) Biosphere,c,The lithosphere comprises the crust and the rigid uppermost mantle. [6][10],,1
ENG_C7_712,7,English,Three Questions,Ethics,Medium,MCQ,The hermit teaches that the most important affair in life is:,a) Gain wealth,b) Do good to others,c) Win wars,d) Live alone,b,The goal is to perform kind acts for the person you are currently with,Honeycomb Unit 1,1
ENG_C7_708,7,English,Three Questions,Theme,Medium,MCQ,The hermit teaches that the most important person is:,a) The King,b) The wise man,c) The person you are with,d) The soldier,c,The lesson focuses on the value of the current human connection,Honeycomb Unit 1,1
ENG_C7_723,7,English,Three Questions,Theme,Medium,MCQ,The hermit's final answer for the right time to act was:,a) Tomorrow,b) Now,c) Noon,d) When ordered,b,Teaches that only the present moment is in our control,Honeycomb Unit 1,1
ENG_C7_650,7,English,Three Questions,Ethics,Medium,MCQ,The hermit's final answer for the right time to do anything was:,a) Tomorrow,b) Now,c) Noon,d) When ordered,b,The hermit taught that the present moment is the only time we have power,Honeycomb Unit 1,1
MATH_C7_702,7,Mathematics,Connecting the Dots,Coordinate Geometry,Medium,MCQ,The horizontal number line in a Cartesian plane is called the:,a) X-axis,b) Y-axis,c) Origin,d) Quadrant,a,The X-axis measures the horizontal distance from the origin,Ganita Prakash Ch 13,1
SCI_C7_616,7,Science,Light: Shadows and Reflections,Optics,Medium,MCQ,The image formed by a pinhole camera is always:,a) Upright,b) Inverted,c) Virtual,d) Larger than object,b,Light rays cross at the pinhole; causing the top of the object to appear at the bottom,Curiosity Ch 11,1
